"Timestamp","How would you rate your knowledge about climate change?","How serious do you think climate change is compared to other global issues (e.g., pandemics, poverty, war)?","How much do you agree with the following statement: “Climate change is a major threat to our generation”?","How willing are you to change your lifestyle to help reduce climate change (e.g., using public transport instead of driving, reducing meat consumption)?","How much would you support each of the following actions? Please answer from 1 to 5 for each (where 1 is “I do not support this at all” and 5 is “I support this very much”). 
Reducing the speed limit in Waterford","How much would you support each of the following actions? Please answer from 1 to 5 for each (where 1 is “I do not support this at all” and 5 is “I support this very much”). 
Giving people help to replace open fires in homes with electric heating or heat
pumps","How much would you support each of the following actions? Please answer from 1 to 5 for each (where 1 is “I do not support this at all” and 5 is “I support this very much”). 
Creating new walking and cycling routes in the city away from cars","How much would you support each of the following actions? Please answer from 1 to 5 for each (where 1 is “I do not support this at all” and 5 is “I support this very much”). 

Restricting where most cars can go","How often do you think about the impact of your daily activities on the environment?"
"2024/09/27 11:31:45 am CET","3","As serious","4","Somewhat willing","3","4","5","2","4"
"2024/09/27 11:32:19 am CET","5","Much more serious","5","Extremely willing","5","5","5","5","5"
"2024/09/27 11:32:30 am CET","3","Much less serious","1","Not willing at all","1","4","5","2","1"
"2024/09/27 11:32:36 am CET","3","Less serious","4","Somewhat willing","3","3","3","3","3"
"2024/09/27 11:32:59 am CET","4","Less serious","2","Not willing at all","2","4","5","3","1"
"2024/09/27 11:35:30 am CET","2","Don't know","3","Somewhat willing","3","4","5","1","1"
"2024/09/27 11:35:50 am CET","3","More serious","4","A little willing","3","3","3","1","1"
"2024/09/27 11:36:02 am CET","4","As serious","5","Very willing","4","4","3","3","4"
"2024/09/27 11:36:12 am CET","4","More serious","5","Somewhat willing","2","5","3","2","2"
"2024/09/27 11:36:36 am CET","4","Less serious","4","Somewhat willing","2","2","5","1","2"
"2024/09/27 11:36:42 am CET","3","As serious","3","Somewhat willing","3","3","3","2","3"
"2024/09/27 11:36:45 am CET","2","As serious","5","A little willing","2","1","1","1","1"
"2024/09/27 11:37:05 am CET","4","Less serious","3","Somewhat willing","1","1","4","1","2"
"2024/09/27 11:37:22 am CET","3","As serious","4","Not willing at all","1","4","3","1","2"
"2024/09/27 11:37:25 am CET","4","As serious","3","Not willing at all","1","5","4","2","2"
"2024/09/27 11:37:39 am CET","4","Less serious","3","Somewhat willing","2","4","5","4","3"
"2024/09/27 11:37:41 am CET","1","Don't know","3","Very willing","1","4","5","1","1"
"2024/09/27 11:45:18 am CET","3","As serious","3","Somewhat willing","3","2","3","3","2"
"2024/09/27 11:45:25 am CET","3","Less serious","3","A little willing","1","4","5","2","3"
"2024/09/27 11:45:34 am CET","3","As serious","2","Somewhat willing","1","1","5","1","1"
"2024/09/27 11:46:00 am CET","4","More serious","5","Very willing","3","5","5","4","3"
"2024/09/27 11:46:02 am CET","4","More serious","4","Somewhat willing","4","4","5","4","2"
"2024/09/27 11:46:05 am CET","5","Much more serious","5","Not willing at all","2","3","4","2","2"
"2024/09/27 11:46:05 am CET","4","As serious","3","A little willing","3","2","5","5","2"
"2024/09/27 11:46:08 am CET","4","As serious","4","Somewhat willing","3","3","4","3","3"
"2024/09/27 11:46:41 am CET","2","Less serious","3","A little willing","2","3","3","1","2"
"2024/09/27 11:46:42 am CET","4","As serious","4","Somewhat willing","3","2","5","3","2"
"2024/09/27 11:46:54 am CET","4","Less serious","4","Somewhat willing","4","4","2","3","3"
"2024/09/27 11:46:58 am CET","3","Much less serious","1","Not willing at all","1","2","3","1","5"
"2024/09/27 11:47:28 am CET","4","As serious","3","Somewhat willing","1","5","3","1","3"
"2024/09/27 11:47:32 am CET","3","As serious","5","Very willing","1","5","5","2","3"
"2024/09/27 11:47:37 am CET","3","More serious","4","Somewhat willing","2","4","4","2","3"
"2024/09/27 11:47:38 am CET","2","Less serious","4","Not willing at all","2","2","3","1","1"
"2024/09/27 11:47:51 am CET","2","As serious","5","Somewhat willing","4","5","5","3","3"
"2024/09/27 11:48:11 am CET","2","Less serious","3","A little willing","1","1","3","1","2"
"2024/09/27 11:48:12 am CET","2","Much less serious","2","A little willing","1","1","2","1","2"
"2024/09/27 11:48:29 am CET","3","As serious","5","Somewhat willing","1","5","5","3","3"
"2024/09/27 11:48:39 am CET","3","Less serious","2","Not willing at all","4","1","5","2","2"
"2024/09/27 12:16:36 pm CET","3","Much less serious","2","Somewhat willing","1","1","2","1","1"
"2024/09/27 12:44:03 pm CET","3","Less serious","3","Very willing","2","5","5","2","4"
"2024/09/27 1:36:53 pm CET","3","As serious","4","Somewhat willing","3","3","4","3","3"
"2024/09/27 3:59:31 pm CET","4","Much more serious","5","Very willing","4","5","5","5","3"
"2024/09/27 8:34:22 pm CET","5","Much more serious","5","Very willing","5","4","5","5","4"
"2024/09/27 9:03:43 pm CET","3","More serious","4","A little willing","3","3","5","3","2"
"2024/09/28 12:02:32 am CET","5","As serious","5","Very willing","3","5","5","3","3"
"2024/09/28 11:48:43 am CET","3","As serious","4","Somewhat willing","3","5","5","3","2"
"2024/09/28 5:25:22 pm CET","4","As serious","5","Extremely willing","5","5","5","5","5"
"2024/09/28 5:53:25 pm CET","3","More serious","3","Somewhat willing","3","4","4","2","2"
"2024/09/28 8:47:15 pm CET","2","As serious","3","Somewhat willing","2","5","5","2","2"
"2024/09/28 9:00:58 pm CET","4","More serious","5","Very willing","3","4","5","5","4"
"2024/09/29 11:38:20 am CET","4","Less serious","4","A little willing","3","3","4","4","2"
"2024/09/30 7:57:52 pm CET","4","More serious","4","Somewhat willing","3","2","5","3","3"
"2024/10/01 1:31:27 am CET","4","More serious","5","Very willing","4","5","5","3","3"
"2024/10/01 10:36:24 am CET","3","As serious","3","Somewhat willing","1","1","1","1","1"
"2024/10/01 5:24:10 pm CET","2","As serious","3","Somewhat willing","2","3","3","2","2"
"2024/10/01 6:44:18 pm CET","4","More serious","4","Somewhat willing","4","3","4","3","4"
"2024/10/01 11:37:28 pm CET","2","Don't know","3","A little willing","3","2","5","3","1"
"2024/10/02 11:39:43 am CET","4","As serious","5","Somewhat willing","5","5","5","4","4"
"2024/10/02 2:00:19 pm CET","3","Less serious","4","Somewhat willing","2","3","4","2","1"
"2024/10/02 2:00:41 pm CET","2","As serious","4","Somewhat willing","2","4","4","2","2"
"2024/10/02 2:00:54 pm CET","5","More serious","5","Extremely willing","1","5","5","4","5"
"2024/10/02 2:01:14 pm CET","4","As serious","5","Somewhat willing","5","4","5","4","4"
"2024/10/02 2:01:44 pm CET","3","More serious","4","A little willing","4","3","4","2","3"
"2024/10/02 2:01:48 pm CET","2","Less serious","3","Not willing at all","3","5","5","2","1"
"2024/10/02 2:02:27 pm CET","2","As serious","3","A little willing","2","3","4","2","3"
"2024/10/02 2:02:46 pm CET","5","Less serious","3","Very willing","1","2","5","1","4"
"2024/10/02 2:02:52 pm CET","3","As serious","5","Somewhat willing","3","4","5","3","3"
"2024/10/02 2:02:56 pm CET","3","Less serious","1","Somewhat willing","1","5","5","3","2"
"2024/10/02 2:05:56 pm CET","1","Much less serious","2","A little willing","1","4","5","2","1"
"2024/10/02 2:45:17 pm CET","4","As serious","3","A little willing","1","3","3","1","2"
"2024/10/02 5:15:08 pm CET","3","More serious","4","Very willing","4","4","5","2","4"
"2024/10/03 2:15:35 pm CET","3","Much more serious","5","Very willing","5","1","5","4","4"
"2024/10/03 2:17:00 pm CET","5","Much more serious","5","Extremely willing","5","1","5","5","4"
"2024/10/04 12:16:05 pm CET","3","As serious","5","Very willing","3","3","4","2","3"
"2024/10/04 4:26:00 pm CET","4","More serious","3","A little willing","2","1","5","3","2"
"2024/10/07 9:52:23 pm CET","3","More serious","4","Very willing","3","4","5","3","2"
"2024/10/08 1:27:06 pm CET","5","As serious","4","Somewhat willing","4","4","4","2","3"
"2024/10/08 10:21:32 pm CET","3","More serious","4","Somewhat willing","2","4","3","1","2"
"2024/10/11 8:40:07 pm CET","2","As serious","3","Somewhat willing","1","3","2","1","1"
"2024/10/15 9:52:07 pm CET","3","More serious","4","A little willing","4","4","4","2","2"
"2024/10/16 7:36:00 pm CET","1","Less serious","1","Not willing at all","1","1","1","1","1"
